activo,precio,fuente
Gold,2350 USD,Yahoo Finance
Silver,28.5 USD,Yahoo Finance
Bitcoin,62000 USD,Yahoo Finance
Microsoft,310 USD,Yahoo Finance
Apple,190 USD,Yahoo Finance
Nvidia,910 USD,Yahoo Finance
Amazon,175 USD,Yahoo Finance
Google,145 USD,Yahoo Finance
Meta,320 USD,Yahoo Finance
Tesla,185 USD,Yahoo Finance
S&P 500,5100 USD,Yahoo Finance
Saudi Aramco,32.00 SAR,Yahoo Finance
JP Morgan,195 USD,Yahoo Finance
Visa,270 USD,Yahoo Finance
Eli Lilly,860 USD,Yahoo Finance
Tenaris,15 USD,Yahoo Finance
